"Project","ProjectName","Category","RecentIssueCount","SampleIssues"
"MT9655MONITOR","MT9655_MONITOR","MT9655平台","27","MT9655MONITOR-6350:杜比IQ MEMC不置灰，增加自动档位 | MT9655MONITOR-6351:HDR游戏亮度映射需求 | MT9655MONITOR-6349:物理通道MEMC打开时，屏参切换需求 | MT9655MONITOR-6494:去内存显示 | MT9655MONITOR-6497:整机系统信息更新 | MT9655MONITOR-6496:整机系统信息确认 | MT9655MONITOR-6495:全部设置去内存信息 | MT9655MONITOR-6493:联调+自测确认"
"OSTVREVIEW","电视外销评审","产品项目","22","OSTVREVIEW-15213:9655 AM 去世界杯9655 EPOS基线 | OSTVREVIEW-15225:9655 AM 去世界杯9655 EPOS基线 | OSTVREVIEW-15101:AM_GoogleTV_9618_PRD_FeatureList_V3.1.1基线申请--SIT | OSTVREVIEW-15072:测试主管审核 | OSTVREVIEW-15046:Setting_Menutree_PRD_AM_GoogleTV_V3.7.3 基线--SIT | OSTVREVIEW-15037:Google TV_LaserSettings_V1.0.5  基线申请--SIT | OSTVREVIEW-15216:AP产品线U70Q、U63Q、U64Q、Q70Q、Q60Q、Q61Q、A60Q系列产品删除世俱杯内置视频基线任务 | OSTVREVIEW-15224:AP产品线U70Q、U63Q、U64Q、Q70Q、Q60Q、Q61Q、A60Q系列产品删除世俱杯内置视频基线任务"
"MT9603EUAUCOU9","MT9603_EUAUCO_U9","MT9603平台","20","MT9603EUAUCOU9-46287:HDMI 9-4 小球拖尾，HSR开earth_motion 48s-1min11s 字母拖尾重 | MT9603EUAUCOU9-44904:LXSQ-RWD-001778约旦65&75A60QXVT导入28s polar翻转措施任务单 | MT9603EUAUCOU9-46632: IPK202604软件项目 | MT9603EUAUCOU9-41688:遥控器适配 | MT9603EUAUCOU9-41697:认证报备新增机型 | MT9603EUAUCOU9-41682:【新项目输入】【派生机】机型名称：55M450RE(02),方案：MT9603,系统版本：U9.6,项目难度：B3b - Mars分支 - AQPQ定版5/14 | MT9603EUAUCOU9-46583:【新项目输入】【派生机】机型名称：43Q60SEVS(19),方案：MT9603,系统版本：U9.6,项目难度：B1b -待模块点检-样机评审5/13 | MT9603EUAUCOU9-46614:Source点检"
"MT9618VIDAALASERU9","MT9618_VIDAA_LASERU9","MT9618平台","20","MT9618VIDAALASERU9-5686:PX4S等DLPC8445平台的激光电视，2K屏参下几何校正功能未置灰 | MT9618VIDAALASERU9-2212:遥控器码值 | MT9618VIDAALASERU9-6049:【MT9618 U9.0.9 激光分支  支持AI button功能】-最小系统 | MT9618VIDAALASERU9-5433:PX4S(01)_DR_副板写入MAC方案不防呆 | MT9618VIDAALASERU9-6181:PX4S(01)_IR_OQC_图像高级设置中打开3D视频无法正常播放 | MT9618VIDAALASERU9-6189:PX4S(01)_IR_用户下标准图像模式下，光源档位不一致 | MT9618VIDAALASERU9-6143:HL7SULTRA-天线NG，不良率8.33%-完检 | MT9618VIDAALASERU9-5047:[闭环任务]变更开发任务实现（分配给相应开发人员）-- HL3S 电池管理菜单"
"MT9655JPU9","MT9655_JP_U9","MT9655平台","19","MT9655JPU9-17820:[声紋識別] If a person with a voiceprint-registered profile speaks after the panel is turned off and then back on, they will be recognized as the “みんな” profile. / 声紋登録済プロフィールの人物がパネルオフオン後に発話すると「みんな(共通)」プロフィールとして認識される | MT9655JPU9-7831:产品规格书 | MT9655JPU9-7787:产品规格书 | MT9655JPU9-7787:产品规格书 | MT9655JPU9-7784:进度计划 | MT9655JPU9-16691:[MediaPlayer] Performance check with AI Voice filter function | MT9655JPU9-17870:Request#201 ＲＧＢモード追加対応<CESI API design> | MT9655JPU9-17891:panic of MI_VIDEO module"
"MT8195CKXZZHPWX","MT8195-触控旋转智慧屏-外销","MTK平台其他","18","MT8195CKXZZHPWX-6098:【Q0501】【files】files下播本地音乐时拔u盘会停止播放 | MT8195CKXZZHPWX-6097:【Q0501】【files】播本地音乐插拔多次插拔U盘后提示stopped | MT8195CKXZZHPWX-4688:【OTA升级】长时间开机状态下，整机到达检测时间未自动检测，手动检测也无法检测到 | MT8195CKXZZHPWX-2857:【升级】充电至电量充足后检测升级，升级进度卡60%不动 | MT8195CKXZZHPWX-6093:【EshareCast】【airplay】airplay推送媒资，随心屏按返回键退出，退出播放页面后未和手机断开连接，手机自动再次推送 | MT8195CKXZZHPWX-6000:【TVS-Req-20】TVSリモコンコード | MT8195CKXZZHPWX-5999:【TVS-Req-19】UI日本語化 | MT8195CKXZZHPWX-5997:【TVS-Req-17】Menu Tree Wifi Hotspot(TBD)"
"APPPSCI","应用个人CI问题管理","测试质量和自动化","17","APPPSCI-90159:AZ4CD_uv0408eRGnu8eX | APPPSCI-90158:AZ4CD_uv0408eRGnu8eW | APPPSCI-90157:AZ4B6F9q0408eRGnuj7B | APPPSCI-90156:AZ3NBv700408eRGnHK29 | APPPSCI-90155:AZ3NBv700408eRGnHK28 | APPPSCI-90154:AZ4B6F8E0408eRGnuj4Q | APPPSCI-90153:AZ4B6F8E0408eRGnuj4R | APPPSCI-90152:AZ4B6F8U0408eRGnuj4d"
"AIVOICE731"," 语音助手自升级项目","AI和画质算法","17","AIVOICE731-38340:Fixed问题解决审核 | AIVOICE731-38284: 语音按时间预约未来的比赛，如：欧洲杯/世界杯第一天的比赛提醒我，都把时间定到5月1号 | AIVOICE731-38341:Fixed问题解决审核 | AIVOICE731-38245:【7.8.4】“今天的新闻”，提示不支持 | AIVOICE731-38320:Fixed问题解决审核 | AIVOICE731-38233:【7.8.4】“讲述女性成长的电视剧”，搜索结果不对 | AIVOICE731-38318:Fixed问题解决审核 | AIVOICE731-38295:【7.8.4】“播报声音设置为XX”，都提示不支持"
"AMLOGICA311D2","AMLOGICA311D2","Amlogic和Android平台","16","AMLOGICA311D2-70568:【海光OPS】设置-系统-进行电脑一键还原，整机只重启，OPS不进行还原 | AMLOGICA311D2-70558:【三联屏】按遥控器静音键静音，然后再次按静音键解除静音，音量变为0，未恢复为静音前的音量。安卓、OPS下都有问题 | AMLOGICA311D2-70567:【卓智OPS】【海光OPS】OPSsn码以及win软件版本号都显示N/A | AMLOGICA311D2-70565:【海光OPS】接入外接键盘默认快捷键不好用 | AMLOGICA311D2-70566:【卓智薄OPS】OPS通道下，设置-系统-进行电脑一键还原，整机只重启，OPS不进行还原 | AMLOGICA311D2-69690:（设计性试制）28#前置HDMI无图 | AMLOGICA311D2-70096:HDMI+DMP“黑衣女”拖红，“小球拖尾” | AMLOGICA311D2-69691:（设计性试制）灰阶下竖带+（横向）暗影"
"MT9603JPU95","MT9603_JP_U95","MT9603平台","14","MT9603JPU95-2482:0D及LocalDimming点检 - 55Q60SJ(02) | MT9603JPU95-2527:待配置-0D及LocalDimming - 65Q60SJ(02) | MT9603JPU95-2572:待样机-0D及LocalDimming - 75Q60SJ(02) | MT9603JPU95-2839:【HISENSE】ネット接続してるのにホーム画面でネット接続されてない表示が出る ||  已经联网了但home画面还是显示未联网 | MT9603JPU95-2239:Synchronize the 'Optimize Mozc Call Method' code | MT9603JPU95-2578:Senor功能 - 配置表缺失 | MT9603JPU95-2533:Senor功能 - 配置表缺失 | MT9603JPU95-2488:待配置-Senor功能 - 材料齐全"
"MT9616AOSP","MT9616-AOSP","MTK平台其他","14","MT9616AOSP-2004:断开蓝牙音响后出现一次系统卡死不响应遥控，过一段时间自动出现kernel panic | MT9616AOSP-2010:LIT_工厂：工厂下AutoVcom的值，写入值为0，应与Flash值一致 | MT9616AOSP-2014:Fixed问题解决审核 | MT9616AOSP-1920:LIT_DTV：串口读写VCOM值后，Logo+F4仍显示setVCOM：NG  | MT9616AOSP-1982:LIT_Miracast：Miracast投屏，弹出连接提示框前，下方弹出toast“Can not...” | MT9616AOSP-1974:【跨模块评审】 | MT9616AOSP-1971:LIT_工厂：3D+3键打开高刷图卡后，按右键取消后，会再闪一下图卡 | MT9616AOSP-2013:DTV下蓝牙音响TV端断开后重新连接，概率出现回连无声"
"NT72690EUAUCOU9","NT72690_EUAUCO_U9","其他","13","NT72690EUAUCOU9-29316:更新AT | NT72690EUAUCOU9-29229:55Q50SAVT(01) Severe Remote Navigation Lag in DAZN App (VIDAA 9.09) | NT72690EUAUCOU9-29204:增加预烧录容量的防呆 | NT72690EUAUCOU9-29169:VS0955UG2_0101 客户在 M 模式打完 ESD 后，没有重启，出现有画面无声音的问题，重启会好 | NT72690EUAUCOU9-26556:【YouTube认证】YouTube认证第五轮预测试 | NT72690EUAUCOU9-29126:WAF测试 | NT72690EUAUCOU9-28935:OTT巡检 -- EM市场 | NT72690EUAUCOU9-27839:应用巡检-em市场"
"AT963D4","Amlogic-T963D4","Amlogic和Android平台","11","AT963D4-36878:【绑定机顶盒】使用CRF3B63遥控器绑定机顶盒，一直卡在运营商匹配 | AT963D4-36885:【商场演示】尺寸演示无内置视频 | AT963D4-36851:商场模式下无内置产品展示视频，与规格书不符 | AT963D4-36887:Fixed问题解决审核 | AT963D4-36879:【图像】HDMI1080P 144Hz VRR信号，打开钟摆，进入会议模式，小窗口下钟摆抖动，请确认 | AT963D4-36884:商场模式下WIFI6高速网络演示的内容错误是海信内容 | AT963D4-36883:商场模式杜比全景声演示点进去后右上角提示：请通过U盘导入全景声视频 | AT963D4-36823:聚好看正式环境运营信息部署"
"ANS16AMLA311D2","ANS16AMLA311D2","Amlogic和Android平台","11","ANS16AMLA311D2-1003:LIT_PIP：PIP切通道信号显示很慢 | ANS16AMLA311D2-3168:【定时开关机】通过IP control设置定时开关机后，打开设置查看，不显示具体的开关机时间，体验不好 | ANS16AMLA311D2-1038:LIT_通道：各通道黑屏无信号 | ANS16AMLA311D2-2512:固件升级、摄像头设置适配可插拔音视频 | ANS16AMLA311D2-3153:【Gts-interactive】EDLA认证Q0427版本gts-interactive测试(GtsUsbDataSignalInteractiveTestCases） | ANS16AMLA311D2-2507:触控固件升级功能确认 | ANS16AMLA311D2-2888:摄像头设置-EDLA Android16应用开发适配点检 | ANS16AMLA311D2-3181:【计时器】结束时响应铃声和闪烁超过20S，和用例不符"
"MT9655SX","MT9655-商显","MT9655平台","11","MT9655SX-5236:type-c唤醒功能适配 | MT9655SX-4921:信号源列表更改媒体自动播放启动方式 | MT9655SX-5313:【无线传屏】【win本】笔记本传屏码投屏失败 | MT9655SX-5312:Fixed问题解决审核 | MT9655SX-5267:【miracast】整机未连接网络时，无线传屏界面会有苹果设备可以miracast投屏的描述 | MT9655SX-5311:Fixed问题解决审核 | MT9655SX-5264:【无线传屏】屏幕群组连接失败的弹窗 遥控器无法关闭  需要等待时间自动关闭 体验不好 | MT9655SX-5297:【Dlan】DLan无法搜索到整机设备"
"AML950D5EUAUCOAMU9","AML950D5_EUAUCOAM_U9","Amlogic和Android平台","11","AML950D5EUAUCOAMU9-37025:【应用管理】/var/local/current_source_app路径修改为/var/local/cache/current_source_app | AML950D5EUAUCOAMU9-36989:【reset factory】 valfs( /var/local)  分区变化后 reset factory 实现的调整 | AML950D5EUAUCOAMU9-37027:【reset factory】 valfs( /var/local)  分区变化后 reset factory 实现的调整----reset-factory-pkgs.sh | AML950D5EUAUCOAMU9-36963:【专有模式】valfs( /var/local)  分区占用数据分类及容量统计登记 | AML950D5EUAUCOAMU9-36987:[Mars]update amlogic release（70-71） | AML950D5EUAUCOAMU9-36946:【TV搜台】valfs( /var/local)  分区占用数据分类及容量统计登记 | AML950D5EUAUCOAMU9-36897:【phoenix 】phoenix 替换为 LaucnerService 实施落地 - 总任务 | AML950D5EUAUCOAMU9-36984:AML950D5EUAUCOAMU9-36835 [TV-219351]HUI: vcom display on the fb0"
"MT9618USGTV","MT9618_US_GTV","MT9618平台","10","MT9618USGTV-66758:每日构建：增加内置视频、epos分区vdow的pkg | MT9618USGTV-66402:L9QUPRO(01)-设计性试制-35#无环境光感，不良率2.22%-完检 | MT9618USGTV-65635:L9QUPRO(01)移轴、移轴校准工艺需求变更 | MT9618USGTV-66800:【WIFI】开关wifi开关，有卡顿感 | MT9618USGTV-66939:【HDMI】接4080主机，VRR开，288Hz切120Hz，电视关机 | MT9618USGTV-66835:HDMI HSR开 色温变冷，肤色变紫 | MT9618USGTV-66948:[工艺性试制][OQC问题]面板四周保护膜撕膜后有残胶留在背板上(四周都有) | MT9618USGTV-66950:[工艺性试制][OQC问题]屏四边亮四周暗带四角暗灯影(用户模式下可见)"
"YYZGGL","应用所主干管理项目","其他","10","YYZGGL-32855:【编码开发】通用置灰弹窗提示 | YYZGGL-32856:【编码开发】关于置灰弹窗提示 | YYZGGL-31717:【编码开发】更新安全协议 | YYZGGL-31296:【编码开发】外销去掉下载2min弹窗 | YYZGGL-31295:【编码开发】芬兰和葡萄牙语的多语言翻译 | YYZGGL-33707:【编码开发】指向遥控器选项英文描述 | YYZGGL-33659:【系统设计】进行整体业务流程设计并拆分本地、系统依赖内容 | YYZGGL-33708:【9616性能测试分析】冷启动及待机选择页面每次出现的性能指标浮动过大"
"TVNXREVIEW","电视内销评审","产品项目","9","TVNXREVIEW-16069:测试主管审批 | TVNXREVIEW-16066:产品工艺设计规格需求书V2.4 For MT9655激光 | TVNXREVIEW-15587:MT9603 V1Q-R切换内容方 V2.49.2.2.1 基线申请 | TVNXREVIEW-15058:海信闺蜜机_控制中心_PRD&UXD_基线审核 | TVNXREVIEW-15033:海信闺蜜机_整机设置_PRD&UXD_基线审核 | TVNXREVIEW-15053:海信闺蜜机_通知中心_PRD&UXD_基线审核 | TVNXREVIEW-13781:UXD_专业模式_V1.2_基线申请 | TVNXREVIEW-13777:产品需求书_PRD_专业模式_V1.2_基线申请"
"MT9655EUAUCOU9","MT9655_EUAUCO_U9","MT9655平台","9","MT9655EUAUCOU9-76722:【时移】低概率时移加载失败 | MT9655EUAUCOU9-76774:【U9.5】正式样机整机屏内存在异物 | MT9655EUAUCOU9-76160:100U77SEVS试产后壳20131818-01200壁挂孔孔径错误 | MT9655EUAUCOU9-76784:MTK特殊场景共性问题分析和措施同步: AirPlay music,断开手机网络,退出Airplay时, 声音还在播放很长时间 | MT9655EUAUCOU9-76783:MTK特殊场景共性问题分析和措施同步: AirPlay music,断开手机网络,退出Airplay时, 声音还在播放很长时间 | MT9655EUAUCOU9-76785:【U9.5】RGB MiniLED机型，商场内置视频中体现Full-Array Local Dimming素材 | MT9655EUAUCOU9-76786:【U9.6】请确认整机Audio Output最大输出功率是否与商场宣传一致 | MT9655EUAUCOU9-75986:低音 低音下潜、力度不如对比机XR70；具体表现为《加州旅馆》30s鼓点深度力度不足、《Battle ship》爆炸冲击效果弱"
"AMLOGICT963SX","AmlogicT963-商显","Amlogic和Android平台","7","AMLOGICT963SX-4071:【安全与权限】小飞跟云幕激活下发内容后，整机打开安卓锁，开机后小飞跟云幕会自启动 | AMLOGICT963SX-4093:Defer问题解决审核 | AMLOGICT963SX-4090:Fixed问题解决审核 | AMLOGICT963SX-4025:色温为标准调整20点白平衡后，图像模式标准效果随自定义效果改变 | AMLOGICT963SX-4043:【快捷菜单】信号源（有信号）下调出menu菜单后，进入自动播放在退出，等待30秒后快捷菜单自动消失后才能出现信号 | AMLOGICT963SX-4052:【媒体自动播放】u 盘中放入Hisense-Offline文件，先播放存在的内容，在播放Hisense-Offline文件内容，体验差 | AMLOGICT963SX-4092:Fixed问题解决审核"
"MT9602EUAUNASACOU9","MT9602_EUAUNASACO_U9","MTK平台其他","7","MT9602EUAUNASACOU9-9369:请软件主设计分配给各软件功能模块审核美洲 9602 VIDAA U9.6 E-Manual英文初稿 | MT9602EUAUNASACOU9-7873:E-manual及纸质版说明书-NASA | MT9602EUAUNASACOU9-9188:【MT9602EU U9.6】【压测】测试环境下，Cable+OTT频道切台压测一周末，出现backendStreamin@browser的coredump | MT9602EUAUNASACOU9-9373:Fixed问题解决审核 | MT9602EUAUNASACOU9-9126:【QDLIT-Browser】压测TV通道和应用切换，浏览器下黑屏不响应内部按键 | MT9602EUAUNASACOU9-9372:【QDLIT-YouTube】压测应用切换出现media_pipeline@youtube coredump | MT9602EUAUNASACOU9-9371:【MT9602 SA】【U9.6】【Copilot】应用首次进入闪一下restart app画面"
"AT950S","Amlogic-T950S","Amlogic和Android平台","6","AT950S-8115:能效参数上传 | AT950S-7738:开机速度NPS指标（系统驱动） | AT950S-7745:VCOM调整 | AT950S-8061:聚好看正式环境运营信息部署 | AT950S-8021:【工艺性试产问题点】模组来料自导的绝缘垫片粘贴不牢靠 | AT950S-7698:聚好看正式环境运营信息部署"
"MT9618USGTVU","MT9618_US_GTVU","MT9618平台","5","MT9618USGTVU-1214:【QDLIT-开关机】OTA升级后重启进launcher，指示灯一直闪 | MT9618USGTVU-1709:Fixed问题解决审核 | MT9618USGTVU-1710:【跨模块评审】 | MT9618USGTVU-1705:Fixed问题解决审核 | MT9618USGTVU-1600:【遥控器】Input键不能循环移动焦点"
"A311D2CKXZZHP","A311D2-触控旋转智慧屏","Amlogic和Android平台","5","A311D2CKXZZHP-14766:《整机包装装配点检表》未完成。 | A311D2CKXZZHP-14696:27X7S(01)-OQC-试产机型为27X7S，铭牌机型为27X7NW,不一致 | A311D2CKXZZHP-14698:27X7S(01)-OQC-产品规格书要求能效为1级，实际整机无能效标签 | A311D2CKXZZHP-14620:【开关机】压测关机菜单开关机，两台机器各出现一次，开机显示开机动画后黑屏 | A311D2CKXZZHP-14697:27X7S(01)-OQC-产品规格书要求带折页说明书，实际附件袋无说明书"
"MT9618EUAUCOU9","MT9618_EUAUCO_U9","MT9618平台","5","MT9618EUAUCOU9-28896:HDMI任务点检 - 材料齐全 | MT9618EUAUCOU9-33410:模拟贴片升级，商场模式EPOS显示异常，只显示上面一半 | MT9618EUAUCOU9-33414:【YouTube 2026 Precert 5th】Guided Test测试Voice (Non-English) Query Inside of YouTube (Other Assistant)俄语失败。 | MT9618EUAUCOU9-33210:【苹果盒子】苹果盒子下netflix打开dolby片源，图像模式为dolby vision iq和custom时断层，上2/3屏有重影 | MT9618EUAUCOU9-33174:【YouTube 2026 Precert 4th】Guided Test测试Voice Service Hard Mic测试失败。"
"NSPECTEST","内销规格点检","测试质量和自动化","4","NSPECTEST-10455:85VX1S(01)-2026-05-07_15-30-34-规格点检已申请 | NSPECTEST-10453:85E3S-PRO(02)-2026-05-07_14-27-30-规格点检已申请 | NSPECTEST-10452:75E3S-PRO(02)-2026-05-06_19-33-10-规格点检已申请 | NSPECTEST-10454:85U85SUA(02)-2026-04-27_10-57-15-规格点检已申请"
"MT9655FTV","MT9655-FTV-HAYWARD","MT9655平台","4","MT9655FTV-9066:Fixed问题解决审核 | MT9655FTV-9057:【QDLIT-Video】【U7-3G】HDMI通道输入4k@165信号，按3D+3打出330内置图卡，出现一次有图无背光 | MT9655FTV-9065:【跨模块评审】 | MT9655FTV-9064:Fixed问题解决审核"
"OSTVQM","海外电视产品质量管理","产品项目","4","OSTVQM-3200:外销市场问题处理方案 | OSTVQM-3197:外销市场问题总结分享 | OSTVQM-3194:【网评问题】55S7NEVS(02) Art Mode下Auto color temperature不作用 | OSTVQM-3199:外销市场问题排查及处理"
"VIDAAPROJECT","VIDAA_Project","系统和OS平台","4","VIDAAPROJECT-9561:【大patch强制评审】patch：555951，行数：1660，owner：zengluming | VIDAAPROJECT-9562:评审子任务 | VIDAAPROJECT-9648:评审子任务 | VIDAAPROJECT-9581:【大patch强制评审】patch：733532，行数：2256，owner：hugaowen"
"MT8195CKXZZHP","MT8195-触控旋转智慧屏","MTK平台其他","4","MT8195CKXZZHP-11175:评审子任务 | MT8195CKXZZHP-10857:32X8N-Ultra(9A)回采录音概率性异常 | MT8195CKXZZHP-10982:各通道“Hisense logo+6-1”淡；“绿色图卡+00074绿色水果”偏黄，“蜜语纪第二集21分17秒左右”色温偏冷、肤色淡，“人脸文件夹”肤色偏红 | MT8195CKXZZHP-10987:HDMI“打开光感，200lux以下”亮度暗，暗场细节少"
"MT9603AMU9","MT9603_AM_U9","MT9603平台","3","MT9603AMU9-16893:背光demura配置 | MT9603AMU9-17138:屏 灰场 四边亮 四角暗 四周暗带 横向暗带 | MT9603AMU9-17418:【显示性能】白场均匀性不合格"
"MONITORA","MONITOR_A","其他","3","MONITORA-938:【REGZA】PRD修改建议 | MONITORA-721:The color temperature and gamma settings of the color space sRGB/BT709/DCI-P3 are not stable | MONITORA-770:Sharpness does change with GUI adjustments"
"SSXSHC","基于Android的实时显示合成引擎技术研究","系统和OS平台","3","SSXSHC-10:截图1080P单张耗时波动（400ms）--优化 | SSXSHC-8:截图服务dma泄露修复 | SSXSHC-6:安卓指定Layer截图接口研究"
"SOUNBARTVS","Soundbar东芝项目群","产品项目","3","SOUNBARTVS-481:R-FUNC-101 EQ mode for low latency mode | SOUNBARTVS-444:R-FUNC-020 Product Performance | SOUNBARTVS-474:R-FUNC-170 Power(Bypass) Test Mode(Internal)"
"HIPLAYER","下一代媒体播放器HiPlayer","应用和多媒体","3","HIPLAYER-2258:媒体中心3.3版本点检 | HIPLAYER-2227:评审子任务 | HIPLAYER-2257:评审问题"
"SXXFJKXT","信发智控系统","其他","3","SXXFJKXT-29801:【安卓16适配】屏幕监控显示绿屏 | SXXFJKXT-30189:【安卓16适配】客户端-4K60帧视频，播放时音画不同步，且声音卡顿 | SXXFJKXT-30187:私有化部署自动化升级系统HLD评审会第二轮"
"VIDAASYGS","VIDAA深研软件质量改善课题项目","系统和OS平台","2","VIDAASYGS-114:【MT9603AM U9.6】【DTV】从秘鲁切换国家美国手动搜台后播放显示不全 | VIDAASYGS-9:软件质量改善课题DTV LIT测试"
"AMLOGICT963","Amlogic-T963","Amlogic和Android平台","2","AMLOGICT963-24156:55D30S(8A) aml demura bin  | AMLOGICT963-24157:TCON点屏文件更新-innertcon文件"
